Circuit: * D:\ECE_Projects\Music_Visualizer\Misc\LM324_With_Voltage_Regulator_Example.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 4.13782e-005 to 4.13793e-005
Heightened Def Con from 4.13811e-005 to 4.13811e-005
Heightened Def Con from 4.13811e-005 to 4.13822e-005
Heightened Def Con from 4.13827e-005 to 4.13829e-005
Heightened Def Con from 4.13829e-005 to 4.13831e-005
Heightened Def Con from 4.13831e-005 to 4.13841e-005
Heightened Def Con from 4.13842e-005 to 4.13844e-005
Heightened Def Con from 4.13845e-005 to 4.13848e-005
Heightened Def Con from 4.13849e-005 to 4.13852e-005
Heightened Def Con from 4.13852e-005 to 4.13863e-005
Heightened Def Con from 4.13906e-005 to 4.13907e-005
Heightened Def Con from 4.13907e-005 to 4.13908e-005
Heightened Def Con from 4.13908e-005 to 4.13911e-005
Heightened Def Con from 4.14021e-005 to 4.14022e-005
Heightened Def Con from 4.14023e-005 to 4.14025e-005
Heightened Def Con from 4.14026e-005 to 4.14026e-005
Heightened Def Con from 4.14026e-005 to 4.14029e-005
Heightened Def Con from 4.14029e-005 to 4.1403e-005
Heightened Def Con from 4.14031e-005 to 4.14031e-005
Heightened Def Con from 4.14031e-005 to 4.14031e-005
Heightened Def Con from 4.14031e-005 to 4.14034e-005
Heightened Def Con from 4.14036e-005 to 4.14047e-005
Heightened Def Con from 4.14065e-005 to 4.14065e-005
Heightened Def Con from 4.14065e-005 to 4.14066e-005
Heightened Def Con from 4.14066e-005 to 4.14068e-005
Heightened Def Con from 4.14068e-005 to 4.1407e-005
Heightened Def Con from 4.14071e-005 to 4.14071e-005
Heightened Def Con from 4.14072e-005 to 4.14072e-005
Heightened Def Con from 4.14072e-005 to 4.14075e-005
Heightened Def Con from 4.14075e-005 to 4.14077e-005
Heightened Def Con from 4.14077e-005 to 4.14089e-005
Heightened Def Con from 4.14097e-005 to 4.14109e-005
Heightened Def Con from 4.14126e-005 to 4.14127e-005
Heightened Def Con from 4.14127e-005 to 4.14128e-005
Heightened Def Con from 4.14128e-005 to 4.14129e-005
Heightened Def Con from 4.14129e-005 to 4.1413e-005
Heightened Def Con from 4.14131e-005 to 4.14133e-005
Heightened Def Con from 4.14134e-005 to 4.14135e-005
Heightened Def Con from 4.14135e-005 +to 4.14165e-005
Heightened Def Con from 4.14168e-005 to 4.14171e-005
Heightened Def Con from 4.14171e-005 to 4.14171e-005
Heightened Def Con from 4.14171e-005 to 4.14172e-005
Heightened Def Con from 4.14172e-005 to 4.14174e-005
Heightened Def Con from 4.14174e-005 to 4.14178e-005
Heightened Def Con from 4.14187e-005 to 4.14197e-005
Heightened Def Con from 4.14198e-005 to 4.14198e-005
Heightened Def Con from 4.14198e-005 to 4.14198e-005
Heightened Def Con from 4.14198e-005 to 4.14201e-005
Heightened Def Con from 4.14218e-005 to 4.1422e-005
