Freq.	V(f3)
1.00000000000000e+001	(-2.69173173765119e+001dB,4.82338642364483e+001°)
1.02329299228075e+001	(-2.62093932852404e+001dB,4.70184328015652e+001°)
1.04712854805090e+001	(-2.54961056848481e+001dB,4.57533195153578e+001°)
1.07151930523761e+001	(-2.47771937219776e+001dB,4.44352483853033e+001°)
1.09647819614319e+001	(-2.40523881478953e+001dB,4.30606246893009e+001°)
1.12201845430196e+001	(-2.33214125280372e+001dB,4.16254957090930e+001°)
1.14815362149688e+001	(-2.25839850017175e+001dB,4.01255059848890e+001°)
1.17489755493953e+001	(-2.18398207624313e+001dB,3.85558463382608e+001°)
1.20226443461741e+001	(-2.10886354796140e+001dB,3.69111958498494e+001°)
1.23026877081238e+001	(-2.03301499478824e+001dB,3.51856559422959e+001°)
1.25892541179417e+001	(-1.95640963337250e+001dB,3.33726757291060e+001°)
1.28824955169313e+001	(-1.87902264972410e+001dB,3.14649678814375e+001°)
1.31825673855641e+001	(-1.80083230035480e+001dB,2.94544144904823e+001°)
1.34896288259165e+001	(-1.72182136110734e+001dB,2.73319628443625e+001°)
1.38038426460288e+001	(-1.64197902379766e+001dB,2.50875118168421e+001°)
1.41253754462275e+001	(-1.56130336671668e+001dB,2.27097908595726e+001°)
1.44543977074593e+001	(-1.47980455530398e+001dB,2.01862356579973e+001°)
1.47910838816821e+001	(-1.39750896256659e+001dB,1.75028677152306e+001°)
1.51356124843621e+001	(-1.31446443146854e+001dB,1.46441899562114e+001°)
1.54881661891248e+001	(-1.23074692593197e+001dB,1.15931175158052e+001°)
1.58489319246111e+001	(-1.14646881886486e+001dB,8.33097289749966e+000°)
1.62181009735893e+001	(-1.06178901969254e+001dB,4.83758830823887e+000°)
1.65958690743756e+001	(-9.76925009707952e+000dB,1.09157540182155e+000°)
1.69824365246174e+001	(-8.92166571079511e+000dB,-2.92915706737944e+000°)
1.73780082874937e+001	(-8.07890485645700e+000dB,-7.24653751896532e+000°)
1.77827941003892e+001	(-7.24574659570134e+000dB,-1.18810064264044e+001°)
1.81970085860998e+001	(-6.42808956009098e+000dB,-1.68496323378080e+001°)
1.86208713666287e+001	(-5.63298577014651e+000dB,-2.21636265031783e+001°)
1.90546071796325e+001	(-4.86854485987831e+000dB,-2.78253412569049e+001°)
1.94984459975804e+001	(-4.14364870313466e+000dB,-3.38250511501059e+001°)
1.99526231496888e+001	(-3.46743160840620e+000dB,-4.01380939974428e+001°)
2.04173794466953e+001	(-2.84852736078743e+000dB,-4.67232011174782e+001°)
2.08929613085404e+001	(-2.29416156613471e+000dB,-5.35229086084219e+001°)
2.13796208950223e+001	(-1.80925410258596e+000dB,-6.04666439685554e+001°)
