Freq.	V(f3)
1.00000000000000e+001	(-2.69462935329373e+001dB,4.81597057181920e+001°)
1.02329299228075e+001	(-2.62382375926748e+001dB,4.69417892679737e+001°)
1.04712854805090e+001	(-2.55248126358898e+001dB,4.56740592215757e+001°)
1.07151930523761e+001	(-2.48057578261377e+001dB,4.43532283670754e+001°)
1.09647819614319e+001	(-2.40808040086178e+001dB,4.29756894980530e+001°)
1.12201845430196e+001	(-2.33496749431757e+001dB,4.15374759889769e+001°)
1.14815362149688e+001	(-2.26120890937709e+001dB,4.00342168745383e+001°)
1.17489755493953e+001	(-2.18677621465233e+001dB,3.84610856802207e+001°)
1.20226443461741e+001	(-2.11164104793277e+001dB,3.68127421922443e+001°)
1.23026877081238e+001	(-2.03577558717340e+001dB,3.50832663211431e+001°)
1.25892541179417e+001	(-1.95915318284118e+001dB,3.32660832270313e+001°)
1.28824955169313e+001	(-1.88174919979425e+001dB,3.13538789712779e+001°)
1.31825673855641e+001	(-1.80354213066330e+001dB,2.93385061931098e+001°)
1.34896288259165e+001	(-1.72451506006387e+001dB,2.72108797629763e+001°)
1.38038426460288e+001	(-1.64465758046971e+001dB,2.49608631605834e+001°)
1.41253754462275e+001	(-1.56396828657123e+001dB,2.25771476454382e+001°)
1.44543977074593e+001	(-1.48245800521531e+001dB,2.00471283922662e+001°)
1.47910838816821e+001	(-1.40015395114551e+001dB,1.73567850177185e+001°)
1.51356124843621e+001	(-1.31710503100752e+001dB,1.44905788192749e+001°)
1.54881661891248e+001	(-1.23338854161562e+001dB,1.14313862028021e+001°)
1.58489319246111e+001	(-1.14911850857742e+001dB,8.16049789593747e+000°)
1.62181009735893e+001	(-1.06445586253811e+001dB,4.65772725908066e+000°)
1.65958690743756e+001	(-9.79620511482398e+000dB,9.01688488674591e-001°)
1.69824365246174e+001	(-8.94905078152164e+000dB,-3.12967428227531e+000°)
1.73780082874937e+001	(-8.10689552743327e+000dB,-7.45820662665537e+000°)
1.77827941003892e+001	(-7.27455280764784e+000dB,-1.21042014310135e+001°)
1.81970085860998e+001	(-6.45795524610561e+000dB,-1.70844969526710e+001°)
1.86208713666287e+001	(-5.66418399867255e+000dB,-2.24099769201138e+001°)
1.90546071796325e+001	(-4.90136664064008e+000dB,-2.80825646377423e+001°)
1.94984459975804e+001	(-4.17838406323894e+000dB,-3.40920190195899e+001°)
1.99526231496888e+001	(-3.50434302551658e+000dB,-4.04131180980372e+001°)
2.04173794466953e+001	(-2.88781818504245e+000dB,-4.70040619397228e+001°)
2.08929613085404e+001	(-2.33594505475889e+000dB,-5.38069777129425e+001°)
2.13796208950223e+001	(-1.85353069642899e+000dB,-6.07510979897318e+001°)
2.18776162394955e+001	(-1.44239788592371e+000dB,-6.77584823118493e+001°)
2.23872113856834e+001	(-1.10114849888057e+000dB,-7.47512921327323e+001°)
2.29086765276777e+001	(-8.25418129965489e-001dB,-8.16590340865080e+001°)
2.34422881531992e+001	(-6.08544816728936e-001dB,-8.84241982143412e+001°)
2.39883291901949e+001	(-4.42463354047251e-001dB,-9.50053293781084e+001°)
2.45470891568503e+001	(-3.18609796097836e-001dB,-1.01377431364542e+002°)
2.51188643150958e+001	(-2.28671744565691e-001dB,-1.07530293438342e+002°)
2.57039578276886e+001	(-1.65105785920362e-001dB,-1.13465626970018e+002°)
2.63026799189538e+001	(-1.21420279523751e-001dB,-1.19193839505031e+002°)
2.69153480392691e+001	(-9.22677652418349e-002dB,-1.24731024140204e+002°)
2.75422870333816e+001	(-7.34065754541358e-002dB,-1.30096465836527e+002°)
2.81838293126445e+001	(-6.15865383158974e-002dB,-1.35310753493685e+002°)
2.88403150312660e+001	(-5.44003792192308e-002dB,-1.40394459280782e+002°)
2.95120922666638e+001	(-5.01282122342231e-002dB,-1.45367289717901e+002°)
3.01995172040201e+001	(-4.75909434251507e-002dB,-1.50247600831157e+002°)
3.09029543251359e+001	(-4.60203590509152e-002dB,-1.55052180384321e+002°)
3.16227766016838e+001	(-4.49487131571430e-002dB,-1.59796219214838e+002°)
3.23593656929628e+001	(-4.41179298098079e-002dB,-1.64493413177558e+002°)
3.31131121482591e+001	(-4.34073029715434e-002dB,-1.69156153676389e+002°)
3.38844156139202e+001	(-4.27782078083959e-002dB,-1.73795777297120e+002°)
3.46736850452531e+001	(-4.22344255872090e-002dB,-1.78422853889423e+002°)
3.54813389233575e+001	(-4.17969841224385e-002dB,1.76952501742187e+002°)
3.63078054770101e+001	(-4.14927931044079e-002dB,1.72320305877568e+002°)
3.71535229097172e+001	(-4.13567470352723e-002dB,1.67670379232619e+002°)
3.80189396320561e+001	(-4.14473578050640e-002dB,1.62992026848260e+002°)
3.89045144994280e+001	(-4.18763614010585e-002dB,1.58273734687706e+002°)
3.98107170553497e+001	(-4.28531124917861e-002dB,1.53502895518805e+002°)
4.07380277804112e+001	(-4.47449052012879e-002dB,1.48665580917260e+002°)
4.16869383470335e+001	(-4.81545561382166e-002dB,1.43746382924668e+002°)
4.26579518801592e+001	(-5.40164911421922e-002dB,1.38728358698167e+002°)
4.36515832240165e+001	(-6.37119008689960e-002dB,1.33593124894219e+002°)
4.46683592150962e+001	(-7.92018168311824e-002dB,1.28321165368652e+002°)
4.57088189614874e+001	(-1.03173566147107e-001dB,1.22892434302390e+002°)
4.67735141287197e+001	(-1.39190214549122e-001dB,1.17287352291132e+002°)
4.78630092322638e+001	(-1.91823630143459e-001dB,1.11488295496175e+002°)
4.89778819368445e+001	(-2.66739694652122e-001dB,1.05481651186106e+002°)
5.01187233627271e+001	(-3.70690660385394e-001dB,9.92604343877450e+001°)
5.12861383991364e+001	(-5.11359473909276e-001dB,9.28273081935454e+001°)
5.24807460249772e+001	(-6.97002755657635e-001dB,8.61976212204249e+001°)
5.37031796370252e+001	(-9.35864113953245e-001dB,7.94018127506753e+001°)
5.49540873857624e+001	(-1.23538488130367e+000dB,7.24863513345194e+001°)
5.62341325190348e+001	(-1.60131828375354e+000dB,6.55124300920090e+001°)
5.75439937337156e+001	(-2.03692658842467e+000dB,5.85520672518537e+001°)
