Freq.	V(f3)
1.00000000000000e+001	(-2.69175527019333e+001dB,4.82360377287888e+001°)
1.02329299228075e+001	(-2.62096418906694e+001dB,4.70206874900836e+001°)
1.04712854805090e+001	(-2.54963682920317e+001dB,4.57556604412632e+001°)
1.07151930523761e+001	(-2.47774710915516e+001dB,4.44376810859403e+001°)
1.09647819614319e+001	(-2.40526810803239e+001dB,4.30631552626578e+001°)
1.12201845430196e+001	(-2.33217218640896e+001dB,4.16281308881113e+001°)
1.14815362149688e+001	(-2.25843116222797e+001dB,4.01282532231539e+001°)
1.17489755493953e+001	(-2.18401655873818e+001dB,3.85587139088782e+001°)
1.20226443461741e+001	(-2.10889994654010e+001dB,3.69141929595463e+001°)
1.23026877081238e+001	(-2.03305340833187e+001dB,3.51887928630001e+001°)
1.25892541179417e+001	(-1.95645016333597e+001dB,3.33759639494327e+001°)
1.28824955169313e+001	(-1.87906539914574e+001dB,3.14684202805780e+001°)
1.31825673855641e+001	(-1.80087737242642e+001dB,2.94580455368597e+001°)
1.34896288259165e+001	(-1.72186885715730e+001dB,2.73357888209491e+001°)
1.38038426460288e+001	(-1.64202904049472e+001dB,2.50915510739829e+001°)
1.41253754462275e+001	(-1.56135599224644e+001dB,2.27140640941951e+001°)
1.44543977074593e+001	(-1.47985986420197e+001dB,2.01907662146739e+001°)
1.47910838816821e+001	(-1.39756700881308e+001dB,1.75076818989586e+001°)
1.51356124843621e+001	(-1.31452523936662e+001dB,1.46493173379248e+001°)
1.54881661891248e+001	(-1.23081047821447e+001dB,1.15985911981649e+001°)
1.58489319246111e+001	(-1.14653504143471e+001dB,8.33682968874649e+000°)
1.62181009735893e+001	(-1.06185776244580e+001dB,4.84386872419829e+000°)
1.65958690743756e+001	(-9.76996023100673e+000dB,1.09832337959129e+000°)
1.69824365246174e+001	(-8.92239478607716e+000dB,-2.92189490453402e+000°)
1.73780082874937e+001	(-8.07964753382360e+000dB,-7.23871325086164e+000°)
1.77827941003892e+001	(-7.24649565529924e+000dB,-1.18725731144126e+001°)
1.81970085860998e+001	(-6.42883564494548e+000dB,-1.68405474118208e+001°)
1.86208713666287e+001	(-5.63371726059681e+000dB,-2.21538563686125e+001°)
1.90546071796325e+001	(-4.86924798796652e+000dB,-2.78148669802470e+001°)
1.94984459975804e+001	(-4.14430802577264e+000dB,-3.38138746544266e+001°)
1.99526231496888e+001	(-3.46803092655237e+000dB,-4.01262436518649e+001°)
2.04173794466953e+001	(-2.84905107876126e+000dB,-4.67107351330578e+001°)
2.08929613085404e+001	(-2.29459633528825e+000dB,-5.35099145870445e+001°)
2.13796208950223e+001	(-1.80959043630957e+000dB,-6.04532335937111e+001°)
2.18776162394955e+001	(-1.39598150583206e+000dB,-6.74626884320700e+001°)
2.23872113856834e+001	(-1.05248626261889e+000dB,-7.44600916101523e+001°)
2.29086765276777e+001	(-7.74827781627352e-001dB,-8.13743754346035e+001°)
2.34422881531992e+001	(-5.56394578389528e-001dB,-8.81473330955992e+001°)
2.39883291901949e+001	(-3.89134182797521e-001dB,-9.47368006997330e+001°)
2.45470891568503e+001	(-2.64464046505417e-001dB,-1.01117149175730e+002°)
2.51188643150958e+001	(-1.74031810310516e-001dB,-1.07277661024703e+002°)
2.57039578276886e+001	(-1.10242870790692e-001dB,-1.13219680919040e+002°)
2.63026799189538e+001	(-6.65513119381950e-002dB,-1.18953378221463e+002°)
2.69153480392691e+001	(-3.75577391801737e-002dB,-1.24494711790489e+002°)
2.75422870333816e+001	(-1.89738198848107e-002dB,-1.29862908482906e+002°)
2.81838293126445e+001	(-7.50905086558570e-003dB,-1.35078549987194e+002°)
2.88403150312660e+001	(-7.22036612104406e-004dB,-1.40162231963290e+002°)
2.95120922666638e+001	(3.13578543119518e-003dB,-1.45133700353522e+002°)
3.01995172040201e+001	(5.26777973906454e-003dB,-1.50011356512148e+002°)
3.09029543251359e+001	(6.46311423654521e-003dB,-1.54812033134495e+002°)
3.16227766016838e+001	(7.20820178651195e-003dB,-1.59550962016340e+002°)
3.23593656929628e+001	(7.77842335739938e-003dB,-1.64241874330228e+002°)
3.31131121482591e+001	(8.31124683857526e-003dB,-1.68897190800831e+002°)
3.38844156139202e+001	(8.86224537423502e-003dB,-1.73528271899576e+002°)
3.46736850452531e+001	(9.44543950292710e-003dB,-1.78145707189337e+002°)
3.54813389233575e+001	(1.00590891968914e-002dB,1.77240371089578e+002°)
3.63078054770101e+001	(1.06976814532434e-002dB,1.72619961470366e+002°)
3.71535229097172e+001	(1.13504587791179e-002dB,1.67982863148812e+002°)
3.80189396320561e+001	(1.19864333409099e-002dB,1.63318351235965e+002°)
3.89045144994280e+001	(1.25254317609318e-002dB,1.58614867124552e+002°)
3.98107170553497e+001	(1.27943199319791e-002dB,1.53859736002323e+002°)
4.07380277804112e+001	(1.24671928757021e-002dB,1.49038927692998e+002°)
4.16869383470335e+001	(1.09880580336786e-002dB,1.44136883635208e+002°)
4.26579518801592e+001	(7.47455060665269e-003dB,1.39136442652954e+002°)
4.36515832240165e+001	(6.01781261056494e-004dB,1.34018911844104e+002°)
4.46683592150962e+001	(-1.15330127072953e-002dB,1.28764346440751e+002°)
4.57088189614874e+001	(-3.15610993867335e-002dB,1.23352122410562e+002°)
4.67735141287197e+001	(-6.29985096403011e-002dB,1.17761903418954e+002°)
4.78630092322638e+001	(-1.10389228286594e-001dB,1.11975110030281e+002°)
